sale_date,sale_time,day_of_week,month,customer_type,customer_city,customer_state,customer_neighborhood,customer_address,customer_zipcode,product_name,product_category,quantity_sold,unit_cost_brl,unit_price_brl,discount_pct,total_revenue_brl,estimated_profit_brl,payment_method,sales_channel,weather_condition,delivery_app_peak,is_weekend,is_holiday_campaign,current_stock_snapshot,supplier_lead_time_days,returned
2025-01-01,10:45,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Nova Vila,"Av. Bento de Godoy, 7589",75683-995,Capacete Pro Tork,Capacete,1,180,329.72,10,329.72,149.72,Pix,Instagram,Chuva Leve,False,False,False,25,10,False
2025-01-01,11:45,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Centro,"Rua do Balneário, 6219",75680-499,Retrovisor Esportivo,Peça,2,35,118.9,0,237.8,167.8,Cartão Crédito,Loja Física,Chuva Leve,False,False,False,111,10,False
2025-01-01,08:30,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Centro,"Av. Orcalino Santos, 9581",75687-614,Luva Motoboy,Proteção,1,25,80.12,10,80.12,55.12,Pix,Loja Física,Ensolarado,False,False,False,42,3,False
2025-01-01,17:00,Quarta-feira,Janeiro,Fiel,Caldas Novas,GO,Itanhangá II,"Av. Orcalino Santos, 6878",75689-678,Bag Delivery 80L,Bag Entrega,1,145,264.9,0,264.9,119.9,Cartão Crédito,Loja Física,Ensolarado,False,False,False,49,6,False
2025-01-01,15:00,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Centro,"Rua do Balneário, 8298",75684-235,Bag Delivery 80L,Bag Entrega,1,145,262.1,10,262.1,117.1,Cartão Crédito,Instagram,Ensolarado,False,False,False,39,9,False
2025-01-01,16:30,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Portal das Águas,"Av. Orcalino Santos, 2210",75684-218,Capacete Pro Tork,Capacete,4,180,319.28,10,1277.12,557.12,Cartão Débito,Loja Física,Nublado,True,False,False,42,7,False
2025-01-01,09:45,Quarta-feira,Janeiro,Fiel,Caldas Novas,GO,Jardim Belvedere,"Av. Orcalino Santos, 68",75685-889,Bag Delivery 80L,Bag Entrega,1,145,274.59,0,274.59,129.59,Dinheiro,Loja Física,Ensolarado,False,False,False,109,8,False
2025-01-01,13:15,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Itanhangá I,"Rua do Balneário, 695",75684-473,Bag Delivery 45L,Bag Entrega,1,95,174.02,10,174.02,79.02,Cartão Crédito,Instagram,Chuva Forte,False,False,False,45,5,False
2025-01-02,10:15,Quinta-feira,Janeiro,Novo,Caldas Novas,GO,Itanhangá I,"Av. Orcalino Santos, 2948",75685-901,Balaclava,Proteção,1,8,35.9,10,35.9,27.9,Cartão Crédito,Instagram,Ensolarado,False,False,False,53,4,False
2025-01-02,15:30,Quinta-feira,Janeiro,Novo,Caldas Novas,GO,Jardim Belvedere,"Rua do Balneário, 3662",75680-775,Bag Delivery 45L,Bag Entrega,2,95,182.4,0,364.8,174.8,Pix,Instagram,Chuva Leve,False,False,False,53,7,False
2025-01-02,12:15,Quinta-feira,Janeiro,Fiel,Caldas Novas,GO,Itanhangá II,"Av. Bento de Godoy, 636",75681-710,Luva Motoboy,Proteção,1,25,77.18,0,77.18,52.18,Cartão Débito,Loja Física,Chuva Forte,False,False,False,84,3,False
2025-01-02,16:15,Quinta-feira,Janeiro,Novo,Caldas Novas,GO,Jardim Belvedere,"Rua São Paulo, 1156",75685-738,Capa de Chuva,Proteção,2,35,101.53,0,203.06,133.06,Cartão Crédito,WhatsApp,Ensolarado,True,False,False,57,8,False
2025-01-02,19:15,Quinta-feira,Janeiro,Recorrente,Caldas Novas,GO,Itanhangá II,"Av. Bento de Godoy, 6663",75688-953,Bag Delivery 80L,Bag Entrega,1,145,267.05,0,267.05,122.05,Pix,Loja Física,Nublado,False,False,False,102,7,False
2025-01-02,10:00,Quinta-feira,Janeiro,Fiel,Caldas Novas,GO,Jardim Belvedere,"Av. Bento de Godoy, 1540",75683-788,Luva Motoboy,Proteção,1,25,80.4,0,80.4,55.4,Cartão Crédito,Loja Física,Ensolarado,True,False,False,79,3,False
2025-01-02,10:00,Quinta-feira,Janeiro,Novo,Caldas Novas,GO,Centro,"Rua São Paulo, 3595",75682-923,Balaclava,Proteção,2,8,34.79,15,69.58,53.58,Pix,Loja Física,Nublado,True,False,False,33,9,False
2025-01-02,15:45,Quinta-feira,Janeiro,Novo,Caldas Novas,GO,Itanhangá II,"Rua São Paulo, 2617",75687-560,Luva Motoboy,Proteção,1,25,80.21,0,80.21,55.21,Pix,WhatsApp,Nublado,False,False,False,85,9,False
2025-01-02,16:00,Quinta-feira,Janeiro,Novo,Caldas Novas,GO,Nova Vila,"Rua do Balneário, 3798",75686-810,Suporte Celular Moto,Suporte,1,18,58.36,0,58.36,40.36,Pix,Loja Física,Ensolarado,True,False,False,78,8,False
2025-01-02,20:45,Quinta-feira,Janeiro,Fiel,Caldas Novas,GO,Itanhangá I,"Av. Orcalino Santos, 5773",75684-871,Baú Moto 30L,Bagagem,2,120,251.53,0,503.06,263.06,Cartão Crédito,Instagram,Ensolarado,False,False,False,112,10,False
2025-01-02,18:45,Quinta-feira,Janeiro,Recorrente,Caldas Novas,GO,Portal das Águas,"Rua do Balneário, 7667",75682-737,Balaclava,Proteção,1,8,34.77,0,34.77,26.77,Cartão Crédito,WhatsApp,Ensolarado,False,False,False,29,8,False
2025-01-02,20:45,Quinta-feira,Janeiro,Novo,Caldas Novas,GO,Jardim Belvedere,"Rua São Paulo, 4143",75681-581,Luva Motoboy,Proteção,1,25,78.18,0,78.18,53.18,Pix,Marketplace,Ensolarado,True,False,False,102,3,False
2025-01-02,10:15,Quinta-feira,Janeiro,Novo,Caldas Novas,GO,Nova Vila,"Rua São Paulo, 1884",75689-323,Bag Delivery 80L,Bag Entrega,3,145,261.26,0,783.78,348.78,Pix,Loja Física,Chuva Leve,False,False,False,112,3,False
2025-01-03,14:15,Sexta-feira,Janeiro,Recorrente,Caldas Novas,GO,Centro,"Rua do Balneário, 1679",75684-970,Bag Delivery 45L,Bag Entrega,1,95,183.92,5,183.92,88.92,Cartão Crédito,WhatsApp,Ensolarado,False,False,False,24,7,False
2025-01-03,15:00,Sexta-feira,Janeiro,Novo,Caldas Novas,GO,Itanhangá I,"Av. Bento de Godoy, 7542",75682-545,Bag Delivery 80L,Bag Entrega,1,145,267.71,0,267.71,122.71,Pix,WhatsApp,Ensolarado,False,False,False,87,9,False
2025-01-03,12:45,Sexta-feira,Janeiro,Novo,Caldas Novas,GO,Nova Vila,"Rua São Paulo, 9346",75689-784,Baú Moto 30L,Bagagem,1,120,265.75,0,265.75,145.75,Pix,Instagram,Nublado,True,False,False,46,7,False
2025-01-03,11:00,Sexta-feira,Janeiro,Novo,Caldas Novas,GO,Nova Vila,"Rua São Paulo, 8014",75688-876,Suporte Celular Moto,Suporte,2,18,57.27,0,114.54,78.54,Pix,WhatsApp,Chuva Leve,False,False,False,20,3,False
2025-01-03,13:45,Sexta-feira,Janeiro,Novo,Caldas Novas,GO,Portal das Águas,"Av. Bento de Godoy, 5774",75687-377,Luva Motoboy,Proteção,1,25,79.25,0,79.25,54.25,Pix,WhatsApp,Ensolarado,True,False,False,114,10,False
2025-01-03,20:30,Sexta-feira,Janeiro,Novo,Caldas Novas,GO,Centro,"Rua do Balneário, 4863",75683-469,Bag Delivery 80L,Bag Entrega,2,145,270.45,0,540.9,250.9,Pix,Loja Física,Ensolarado,True,False,False,24,10,False
2025-01-03,12:45,Sexta-feira,Janeiro,Novo,Caldas Novas,GO,Itanhangá I,"Rua São Paulo, 5592",75682-152,Carregador USB Moto,Acessório,2,15,47.57,0,95.14,65.14,Cartão Crédito,Loja Física,Nublado,True,False,False,80,3,False
2025-01-03,11:00,Sexta-feira,Janeiro,Fiel,Caldas Novas,GO,Itanhangá II,"Rua São Paulo, 9943",75689-909,Bag Delivery 80L,Bag Entrega,2,145,262.3,0,524.6,234.6,Cartão Débito,Loja Física,Ensolarado,False,False,False,56,8,False
2025-01-03,11:30,Sexta-feira,Janeiro,Fiel,Caldas Novas,GO,Portal das Águas,"Av. Orcalino Santos, 2583",75683-277,Bag Delivery 80L,Bag Entrega,2,145,264.28,0,528.56,238.56,Pix,Loja Física,Nublado,False,False,False,78,6,False
2025-01-04,18:15,Sábado,Janeiro,Fiel,Caldas Novas,GO,Itanhangá I,"Av. Orcalino Santos, 8932",75683-763,Capacete Pro Tork,Capacete,1,180,334.68,0,334.68,154.68,Pix,Loja Física,Ensolarado,True,True,False,58,6,False
2025-01-04,15:00,Sábado,Janeiro,Novo,Caldas Novas,GO,Itanhangá II,"Av. Orcalino Santos, 7088",75685-718,Luva Motoboy,Proteção,1,25,79.19,0,79.19,54.19,Pix,Instagram,Ensolarado,False,True,False,92,2,False
2025-01-04,18:45,Sábado,Janeiro,Recorrente,Caldas Novas,GO,Jardim Belvedere,"Rua do Balneário, 9600",75686-750,Bag Delivery 80L,Bag Entrega,1,145,268.52,5,268.52,123.52,Dinheiro,Loja Física,Ensolarado,False,True,False,60,3,False
2025-01-04,16:00,Sábado,Janeiro,Fiel,Caldas Novas,GO,Itanhangá I,"Av. Orcalino Santos, 5163",75684-431,Suporte Celular Moto,Suporte,1,18,60.11,0,60.11,42.11,Cartão Débito,Instagram,Nublado,False,True,False,19,10,False
2025-01-04,08:15,Sábado,Janeiro,Recorrente,Caldas Novas,GO,Jardim Belvedere,"Rua do Balneário, 4729",75687-815,Bag Delivery 45L,Bag Entrega,1,95,178.38,0,178.38,83.38,Pix,WhatsApp,Nublado,False,True,False,109,4,False
2025-01-04,09:15,Sábado,Janeiro,Recorrente,Caldas Novas,GO,Itanhangá I,"Av. Bento de Godoy, 8347",75684-525,Bag Delivery 45L,Bag Entrega,1,95,174.85,5,174.85,79.85,Dinheiro,Loja Física,Ensolarado,False,True,False,68,5,False
2025-01-04,14:30,Sábado,Janeiro,Novo,Caldas Novas,GO,Itanhangá II,"Av. Bento de Godoy, 52",75684-843,Luva Motoboy,Proteção,2,25,80.37,0,160.74,110.74,Pix,Marketplace,Chuva Leve,False,True,False,37,9,False
2025-01-04,11:15,Sábado,Janeiro,Recorrente,Caldas Novas,GO,Itanhangá II,"Rua São Paulo, 3836",75686-144,Suporte Celular Moto,Suporte,1,18,58.37,0,58.37,40.37,Pix,Instagram,Nublado,False,True,False,103,4,False
2025-01-04,15:00,Sábado,Janeiro,Fiel,Caldas Novas,GO,Itanhangá II,"Rua São Paulo, 261",75682-519,Bag Delivery 45L,Bag Entrega,1,95,183.02,10,183.02,88.02,Dinheiro,Loja Física,Nublado,False,True,False,52,7,False
2025-01-04,13:45,Sábado,Janeiro,Recorrente,Caldas Novas,GO,Itanhangá II,"Av. Orcalino Santos, 1131",75683-746,Luva Motoboy,Proteção,1,25,79.16,5,79.16,54.16,Pix,Loja Física,Ensolarado,True,True,False,31,3,False
2025-01-04,13:45,Sábado,Janeiro,Recorrente,Caldas Novas,GO,Nova Vila,"Rua do Balneário, 8712",75686-679,Bag Delivery 80L,Bag Entrega,1,145,265.66,5,265.66,120.66,Pix,Loja Física,Chuva Leve,False,True,False,67,5,False
2025-01-04,20:45,Sábado,Janeiro,Recorrente,Caldas Novas,GO,Jardim Belvedere,"Rua do Balneário, 1220",75687-453,Capa de Chuva,Proteção,1,35,99.99,15,99.99,64.99,Pix,Instagram,Ensolarado,False,True,False,77,6,False
2025-01-05,08:45,Domingo,Janeiro,Novo,Caldas Novas,GO,Jardim Belvedere,"Av. Orcalino Santos, 9282",75680-720,Bag Delivery 45L,Bag Entrega,1,95,181.14,5,181.14,86.14,Cartão Crédito,Instagram,Ensolarado,False,True,False,48,7,False
2025-01-05,10:00,Domingo,Janeiro,Recorrente,Caldas Novas,GO,Portal das Águas,"Av. Orcalino Santos, 5071",75687-134,Bag Delivery 45L,Bag Entrega,2,95,180.94,0,361.88,171.88,Cartão Débito,Loja Física,Ensolarado,True,True,False,113,8,False
2025-01-05,10:30,Domingo,Janeiro,Recorrente,Caldas Novas,GO,Itanhangá I,"Av. Bento de Godoy, 5559",75681-579,Bag Delivery 45L,Bag Entrega,3,95,183.44,15,550.32,265.32,Pix,Instagram,Nublado,False,True,False,109,8,False
2025-01-05,15:30,Domingo,Janeiro,Novo,Caldas Novas,GO,Portal das Águas,"Av. Bento de Godoy, 9587",75686-942,Baú Moto 30L,Bagagem,2,120,259.57,0,519.14,279.14,Pix,WhatsApp,Ensolarado,False,True,False,97,10,False
2025-01-05,18:45,Domingo,Janeiro,Recorrente,Caldas Novas,GO,Centro,"Rua do Balneário, 752",75680-411,Capa de Chuva,Proteção,1,35,100.19,15,100.19,65.19,Pix,Loja Física,Nublado,False,True,False,68,9,False
2025-01-05,14:00,Domingo,Janeiro,Recorrente,Caldas Novas,GO,Itanhangá I,"Rua São Paulo, 4593",75680-806,Carregador USB Moto,Acessório,1,15,49.67,0,49.67,34.67,Pix,Instagram,Nublado,False,True,False,31,7,False
2025-01-05,15:00,Domingo,Janeiro,Novo,Caldas Novas,GO,Portal das Águas,"Rua do Balneário, 9793",75680-151,Retrovisor Esportivo,Peça,1,35,116.3,5,116.3,81.3,Pix,Loja Física,Ensolarado,False,True,False,27,10,False
2025-01-05,08:30,Domingo,Janeiro,Novo,Caldas Novas,GO,Nova Vila,"Rua do Balneário, 8860",75684-917,Suporte Celular Moto,Suporte,1,18,60.42,0,60.42,42.42,Cartão Débito,Loja Física,Chuva Leve,True,True,False,119,5,False
2025-01-05,09:45,Domingo,Janeiro,Novo,Caldas Novas,GO,Itanhangá I,"Av. Bento de Godoy, 8418",75689-211,Bag Delivery 45L,Bag Entrega,1,95,174.85,0,174.85,79.85,Pix,WhatsApp,Ensolarado,False,True,False,103,10,False
2025-01-05,09:45,Domingo,Janeiro,Recorrente,Caldas Novas,GO,Portal das Águas,"Rua São Paulo, 1214",75681-429,Bag Delivery 80L,Bag Entrega,4,145,267.81,0,1071.24,491.24,Pix,Loja Física,Ensolarado,False,True,False,86,7,False
2025-01-05,09:15,Domingo,Janeiro,Novo,Caldas Novas,GO,Itanhangá I,"Rua São Paulo, 3753",75686-447,Capa de Chuva,Proteção,1,35,100.74,5,100.74,65.74,Pix,WhatsApp,Ensolarado,True,True,False,59,6,False
2025-01-05,09:30,Domingo,Janeiro,Recorrente,Caldas Novas,GO,Nova Vila,"Av. Orcalino Santos, 9618",75688-675,Bag Delivery 45L,Bag Entrega,1,95,174.63,0,174.63,79.63,Pix,Loja Física,Chuva Leve,False,True,False,115,8,False
2025-01-05,11:15,Domingo,Janeiro,Novo,Caldas Novas,GO,Portal das Águas,"Rua São Paulo, 3684",75681-458,Capacete Pro Tork,Capacete,1,180,330.54,5,330.54,150.54,Pix,WhatsApp,Chuva Forte,False,True,False,73,10,False
2025-01-05,19:30,Domingo,Janeiro,Novo,Caldas Novas,GO,Centro,"Rua do Balneário, 4487",75684-447,Baú Moto 30L,Bagagem,1,120,265.67,0,265.67,145.67,Pix,Loja Física,Nublado,False,True,False,27,4,False
2025-01-06,13:00,Segunda-feira,Janeiro,Novo,Caldas Novas,GO,Centro,"Rua do Balneário, 2589",75689-150,Capa de Chuva,Proteção,1,35,97.88,5,97.88,62.88,Pix,WhatsApp,Ensolarado,False,False,False,75,8,False
2025-01-06,15:30,Segunda-feira,Janeiro,Novo,Caldas Novas,GO,Centro,"Rua do Balneário, 6485",75689-156,Capacete Pro Tork,Capacete,1,180,332.52,0,332.52,152.52,Pix,Loja Física,Ensolarado,True,False,False,51,6,False
2025-01-06,16:30,Segunda-feira,Janeiro,Novo,Caldas Novas,GO,Centro,"Rua São Paulo, 703",75686-119,Bag Delivery 45L,Bag Entrega,1,95,181.19,0,181.19,86.19,Pix,Loja Física,Nublado,False,False,False,70,8,False
2025-01-06,19:30,Segunda-feira,Janeiro,Fiel,Caldas Novas,GO,Centro,"Rua São Paulo, 1744",75683-546,Luva Motoboy,Proteção,1,25,78.81,0,78.81,53.81,Pix,Loja Física,Chuva Forte,True,False,False,62,5,False
2025-01-06,13:30,Segunda-feira,Janeiro,Recorrente,Caldas Novas,GO,Portal das Águas,"Rua do Balneário, 3881",75681-249,Bag Delivery 45L,Bag Entrega,1,95,183.36,0,183.36,88.36,Pix,Loja Física,Nublado,False,False,False,28,4,False
2025-01-06,17:30,Segunda-feira,Janeiro,Recorrente,Caldas Novas,GO,Portal das Águas,"Av. Bento de Godoy, 2483",75687-169,Bag Delivery 80L,Bag Entrega,1,145,271.92,0,271.92,126.92,Cartão Débito,WhatsApp,Ensolarado,False,False,False,64,10,False
2025-01-06,09:45,Segunda-feira,Janeiro,Novo,Caldas Novas,GO,Itanhangá I,"Av. Orcalino Santos, 7378",75689-767,Luva Motoboy,Proteção,1,25,79.69,0,79.69,54.69,Cartão Débito,Loja Física,Ensolarado,False,False,False,76,3,False
2025-01-07,16:15,Terça-feira,Janeiro,Recorrente,Caldas Novas,GO,Jardim Belvedere,"Av. Bento de Godoy, 4644",75686-518,Bag Delivery 45L,Bag Entrega,1,95,184.27,5,184.27,89.27,Cartão Débito,Loja Física,Nublado,False,False,False,61,3,False
2025-01-07,17:15,Terça-feira,Janeiro,Fiel,Caldas Novas,GO,Jardim Belvedere,"Av. Orcalino Santos, 9557",75682-458,Capa de Chuva,Proteção,1,35,101.76,0,101.76,66.76,Cartão Débito,WhatsApp,Ensolarado,True,False,False,109,3,False
2025-01-07,19:00,Terça-feira,Janeiro,Recorrente,Caldas Novas,GO,Portal das Águas,"Rua São Paulo, 8341",75685-118,Suporte Celular Moto,Suporte,2,18,60.16,0,120.32,84.32,Pix,Loja Física,Chuva Leve,False,False,False,80,5,False
2025-01-07,19:00,Terça-feira,Janeiro,Novo,Caldas Novas,GO,Portal das Águas,"Av. Bento de Godoy, 2157",75689-485,Bag Delivery 45L,Bag Entrega,2,95,181.91,0,363.82,173.82,Pix,WhatsApp,Ensolarado,False,False,False,39,9,False
2025-01-07,20:45,Terça-feira,Janeiro,Recorrente,Caldas Novas,GO,Nova Vila,"Rua do Balneário, 5080",75687-955,Suporte Celular Moto,Suporte,3,18,59.89,0,179.67,125.67,Cartão Débito,WhatsApp,Nublado,False,False,False,115,6,False
2025-01-07,12:00,Terça-feira,Janeiro,Novo,Caldas Novas,GO,Portal das Águas,"Rua São Paulo, 6091",75688-205,Luva Motoboy,Proteção,1,25,79.5,5,79.5,54.5,Pix,Loja Física,Ensolarado,True,False,False,39,6,False
2025-01-07,13:00,Terça-feira,Janeiro,Fiel,Caldas Novas,GO,Itanhangá I,"Av. Orcalino Santos, 6505",75688-482,Luva Motoboy,Proteção,1,25,80.5,0,80.5,55.5,Dinheiro,Loja Física,Chuva Leve,True,False,False,31,7,False
2025-01-07,19:45,Terça-feira,Janeiro,Recorrente,Caldas Novas,GO,Itanhangá I,"Av. Orcalino Santos, 1308",75680-362,Bag Delivery 45L,Bag Entrega,2,95,175.12,0,350.24,160.24,Pix,Instagram,Ensolarado,False,False,False,72,3,False
2025-01-07,09:00,Terça-feira,Janeiro,Recorrente,Caldas Novas,GO,Itanhangá I,"Av. Orcalino Santos, 8453",75689-347,Suporte Celular Moto,Suporte,1,18,59.43,5,59.43,41.43,Pix,Loja Física,Ensolarado,False,False,False,92,8,False
2025-01-07,20:00,Terça-feira,Janeiro,Fiel,Caldas Novas,GO,Itanhangá I,"Rua São Paulo, 723",75686-482,Bag Delivery 80L,Bag Entrega,1,145,269.71,0,269.71,124.71,Pix,WhatsApp,Nublado,True,False,False,112,3,False
2025-01-07,10:45,Terça-feira,Janeiro,Recorrente,Caldas Novas,GO,Portal das Águas,"Rua São Paulo, 2996",75682-164,Capacete Pro Tork,Capacete,1,180,335.19,5,335.19,155.19,Cartão Crédito,Loja Física,Ensolarado,True,False,False,44,2,False
2025-01-07,18:15,Terça-feira,Janeiro,Recorrente,Caldas Novas,GO,Jardim Belvedere,"Av. Bento de Godoy, 793",75685-379,Suporte Celular Moto,Suporte,2,18,57.36,0,114.72,78.72,Pix,Instagram,Ensolarado,False,False,False,67,7,False
2025-01-07,19:45,Terça-feira,Janeiro,Recorrente,Caldas Novas,GO,Centro,"Rua São Paulo, 9880",75682-658,Luva Motoboy,Proteção,3,25,80.43,0,241.29,166.29,Pix,Loja Física,Ensolarado,True,False,False,74,8,False
2025-01-08,20:00,Quarta-feira,Janeiro,Fiel,Caldas Novas,GO,Centro,"Rua São Paulo, 5962",75688-920,Bag Delivery 45L,Bag Entrega,1,95,176.58,5,176.58,81.58,Pix,Loja Física,Chuva Leve,False,False,False,105,9,False
2025-01-08,17:15,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Portal das Águas,"Rua São Paulo, 6087",75685-554,Bag Delivery 45L,Bag Entrega,1,95,179.72,5,179.72,84.72,Pix,Loja Física,Chuva Leve,False,False,False,102,6,False
2025-01-08,12:30,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Portal das Águas,"Rua São Paulo, 3525",75689-392,Bag Delivery 45L,Bag Entrega,1,95,179.66,5,179.66,84.66,Dinheiro,Loja Física,Nublado,True,False,False,28,9,False
2025-01-08,18:30,Quarta-feira,Janeiro,Fiel,Caldas Novas,GO,Portal das Águas,"Av. Orcalino Santos, 9021",75688-397,Capacete Pro Tork,Capacete,2,180,338.6,10,677.2,317.2,Cartão Crédito,WhatsApp,Chuva Forte,False,False,False,99,4,False
2025-01-08,08:30,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Itanhangá II,"Av. Bento de Godoy, 7667",75688-232,Luva Motoboy,Proteção,1,25,80.38,0,80.38,55.38,Pix,Loja Física,Ensolarado,False,False,False,111,9,False
2025-01-08,15:45,Quarta-feira,Janeiro,Fiel,Caldas Novas,GO,Portal das Águas,"Av. Bento de Godoy, 2112",75688-755,Capacete Pro Tork,Capacete,1,180,331.81,0,331.81,151.81,Cartão Débito,Loja Física,Chuva Leve,False,False,False,26,3,False
2025-01-08,16:30,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Centro,"Av. Bento de Godoy, 3226",75688-381,Suporte Celular Moto,Suporte,3,18,60.58,0,181.74,127.74,Pix,Loja Física,Ensolarado,False,False,False,38,4,False
2025-01-08,08:00,Quarta-feira,Janeiro,Fiel,Caldas Novas,GO,Centro,"Av. Bento de Godoy, 3463",75689-526,Bag Delivery 80L,Bag Entrega,1,145,261.59,0,261.59,116.59,Pix,Instagram,Chuva Leve,False,False,False,101,6,False
2025-01-08,15:45,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Itanhangá I,"Rua São Paulo, 3352",75685-721,Baú Moto 30L,Bagagem,1,120,252.16,0,252.16,132.16,Cartão Crédito,Loja Física,Nublado,False,False,False,63,8,False
2025-01-08,11:15,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Centro,"Av. Orcalino Santos, 4764",75686-984,Suporte Celular Moto,Suporte,1,18,58.18,0,58.18,40.18,Pix,Instagram,Nublado,True,False,False,60,7,False
2025-01-08,09:45,Quarta-feira,Janeiro,Fiel,Caldas Novas,GO,Itanhangá II,"Rua São Paulo, 3954",75683-697,Bag Delivery 45L,Bag Entrega,1,95,178.97,0,178.97,83.97,Pix,Loja Física,Chuva Forte,False,False,False,102,9,False
2025-01-08,14:30,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Centro,"Rua São Paulo, 848",75689-675,Bag Delivery 45L,Bag Entrega,1,95,177.56,0,177.56,82.56,Pix,Loja Física,Ensolarado,False,False,False,116,10,False
2025-01-08,20:30,Quarta-feira,Janeiro,Fiel,Caldas Novas,GO,Itanhangá II,"Av. Bento de Godoy, 2373",75683-716,Capacete LS2,Capacete,1,380,694.55,0,694.55,314.55,Pix,Loja Física,Nublado,True,False,False,61,9,False
2025-01-08,14:30,Quarta-feira,Janeiro,Fiel,Caldas Novas,GO,Itanhangá II,"Av. Bento de Godoy, 8321",75688-645,Bag Delivery 45L,Bag Entrega,1,95,177.05,0,177.05,82.05,Pix,Loja Física,Chuva Leve,True,False,False,61,3,False
2025-01-08,12:15,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Portal das Águas,"Av. Orcalino Santos, 9570",75687-274,Capa de Chuva,Proteção,5,35,99.58,0,497.9,322.9,Cartão Débito,WhatsApp,Chuva Leve,False,False,False,102,5,False
